Period,Nationality,Level,Composer,Piece Name,Book's name,future,time,future,14,13,12,11,10,09,08,07,06,05,04,03,02,01,00,99,98,97,96,95,94,93
06 French Suite,German,Senior,Bach,"French Suite #4 BWV 815, Gigue in E Flat Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Junior,Bach,"French Suite #4 BWV 815, Menuet in E Flat Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,bJR,,,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #4 BWV 815, Sarabande in E Flat Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bINT,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #5 BWV 816, Allemande in G Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #5 BWV 816, Courante in G Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #5 BWV 816, Gavotte in G Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bINT,,,,,,,,,,,,,5A,,
06 French Suite,German,Senior,Bach,"French Suite #5 BWV 816, Gigue in G Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #6 BWV 817, Allemande in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #6 BWV 817, Bourree in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #6 BWV 817, Courante in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #6 BWV 817, Gavotte in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bINT,,,,,,,,,,,,,,,
06 French Suite,German,Senior,Bach,"French Suite #6 BWV 817, Gigue in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bSR,,,,,,,,,7A,,,,,7A,
06 French Suite,German,Intermediate,Bach,"French Suite #6 BWV 817, Menuet in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bINT,,,,,,,,,,,,,,,3A
06 French Suite,German,Intermediate,Bach,"French Suite #6 BWV 817, Polonaise in E Major","French Suites BWV 812-817, G. Henle #HN72, HL.51480072",,,,,,,,,,bINT,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #2 BWV 813, Allemande in C Major","French Suites, Wiener Urtext/Vienna Urtext, PR.UT050048, P.10-11",,4,,13bINT4,,,,,,bSR,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #2 BWV 813, Courante in C Minor","French Suites, Wiener Urtext/Vienna Urtext, PR.UT050048, P.12-13",,2.5,,13bINT5,,,,,,bINT,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,"French Suite #2 BWV 813, Gigue in C Minor","French Suites, Wiener Urtext/Vienna Urtext, PR.UT050048, P.18-19",,3.5,,13bINT6,,,,,,bINT,,,,,,,,,,,,,,,
23 Pedagogy,German,Elementary,Bach,Minuet in g from Suite BWV 822 in G Minor,"Harris Piano Classics Vol.2/a, FH.HPA60, p.8, 24 bars (without Trio)",,,,,,11bELE4,,,,,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Chorale BWV Anh 514 in C Major,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605  (p.13, 16 bars, ignore all small notes)",,,,,,,1bJR2,,,,,,,,,,,,,,,,,,
01 Anna,German,Intermediate,Bach,Polonaise BWV Anh 123 in g Minor,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605 (p.40-41)",,,,,,,004A,,,,,,,,,,,,,,,,,,
01 Anna,German,Intermediate,Bach,Polonaise BWV Anh 130 in g Minor,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605,",,,14-4A,,,,,,,4A,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Menuet BWV Anh 118 in B Flat Major,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, (p.14-15, 25 bars)",,,,,,,1bJR3,,,,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Aria BWV Anh 508 in E Flat Major,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, (p.34-35, 36 bars, ignore all small notes)",,,14bJR,,,,,,,,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Menuet BWV Anh 113 in F Major,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, (p.36-37, 32 bars)",,,13bJR,,,,,,,,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Menuet BWV Anh 120 in a Minor,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, (p.42-43, 28 bars)",,,,,,003A,,,,,,,,,bJR,,,,,bJR,,,,,
01 Anna,German,Junior,Bach,Aria BWV Anh 515 in d Minor,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, (p.6, 16 bars)",,,,,,,1bJR1,,,,,,,,,,,,,,,,,,
01 Anna,German,Junior,Bach,Musette in D Major BWV Anh 126,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, p.10-11: 28 bars ",,,,,12bJR2,,,,,,bJR,,bJR,,bJR,,,,,bJR,,,,,
01 Anna,German,Elementary,Bach,Chorale BWV Anh 512 in E Minor,"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, p.12",,,13bELE,,,,,,,,,,,,,,,,,,,,,,
01 Anna,German,Elementary,Bach,Minuet in G Major (Fait Par Mons. Bohm),"J.S. Bach Selections from Anna Magdalena's Notebook, AP605, p.16-17: 28 bars ",,,,,11bELE2,,,,,,bJR,,bJR,,,,,,,,,,,,
