Period,Nationality,Level,Composer,Piece Name,Book's name,future,time,future,14,13,12,11,10,09,08,07,06,05,04,03,02,01,00,99,98,97,96,95,94,93
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.125 #12 in D Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.125 #3 in C Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.46 #2 in G Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.47 #1 in C Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.47 #10 in D Minor,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.47 #3 in A Minor,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.47 #4 in G Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
16 Early Romantic,Hungarian,Junior,Heller,Etude Op.47 #8 in A Major,,,,,,,,,,rJR,,,,,,,,,,,,,,,,
22 USA,American ,Senior,Herbert,La Coquette,,,,,,,,,,,,usSR,,,,,,,,,,,,,,
19 Early Contem,German ,Intermediate,Hindermith,Lied Song,,,,,,,,,,,,,cINT,,,,,,,,,,,,,
15 Late Classical,Welsh,Intermediate,Hoddinott,Lizard ,,,,,,,,,,,,,cINT,,,,,,,,,,,,,
23 Pedagogy,,Elementary,Hofstad,The Circus Comes To Town,"Solo Repertoire for the Young Pianist, Book 1,Willis Music #9633,p.18-19, 16 bars in G",,,,,,,5usELE4,,,,,,,,,,,,,,,,,,
23 Pedagogy,,Elementary,Holst,Pirates Bold in D Minor,"Summy Solo Piano Package, No.101 - Elementary AP#0652, p.30-31, 28 bars",,,,,,002D,,,,,,,,,,,,,,,,,,,
,English ,Elementary,Hook,Gavotte in C Major ,"Discovering Piano Literature, Book 1, Alfred AP.14574, p.5: 16 bars",,,,,21clELE1,,,,,,,,,,,,,,,,,,,,
23 Pedagogy,English ,Elementary,Hook,Minuet (in C Major),,,,,,,,,clELE,,,,,,,,,,,,,,,,,
,Czech,Elementary,Horak,The Cuckoo in C Major,"Discovering Piano Literature, Book 1, Alfred AP.14574, p.27, 28 bars",,,,,002C,,,,,,,,,,,,,,,,,,,,
20 Contem,Scottish ,Advanced,Horne,Fourths and Fifths ,,,,,,,,,,,,,cADV,,,,,,,,,,,,,
23 Pedagogy,,Elementary,Horowitz & Gordon,Under the Big Top in C Major,"Summy Solo Piano Package, No.101 - Elementary AP#0652, p.22-23, 24 bars",,,,,,002C,,,,,,,,,,,,,,,,,,,
23 Pedagogy,Hungarian,Preparatory,Horvath,Canzonetta in A Minor,"An Introduction to Classics to Moderns Agay ISBN 0825612667,p.25,16 bars",,,,,,30rINTRO5,,,,,,,,,,,,,,,,,,,
23 Pedagogy,French,Elementary,Hullmandel,Allegro Op.12 #14 in G Major,"Harris Piano Classics Vol.1/a, FH.HPA59, P.16, 20 bars",,,,11bELE6,,,,,1B,,,,,,,1B,,,,,,,,,1B
,Austrian,Elementary,Hummel,Ecossaise in C Major,"Discovering Piano Literature, Book 1, Alfred AP.14574, p.16: 16 bars",,,,,21clELE4,,,,,,,,,,,,,,,,,,,,
,Austrian,Junior,"Hummel, Berthold",Prelude in G Major,"From Schoenberg to Ligeti, Schott ED9478, p.24",,,13cJR5,,,,,,,,,,,,,,,,,,,,,,
,Austrian,Junior,"Hummel, Berthold",Little Melodie,"From Schoenberg to Ligeti, Schott ED9478, p.25",,,13cJR6,,,,,,,,,,,,,,,,,,,,,,
,Czech ,Junior,Hurnik,A Wistful Waltz,"From Schoenberg to Ligeti, Schott ED9478, p.20",,,13cJR4,,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,French,Duet Sr,Ibert,A Giddy Girl (DUET),,,,,,,,,,duSR-b,,,,,,,,,,,,,,,,
19 Early Contem,French,Senior,Ibert,The Little White Donkey,,,,,,,,,,,,7D,,,,,,,,7D,,,,,,
19 Early Contem,French,Duet Sr,Ibert,The Little White Donkey (DUET),,,,,,,,,,duSR-a,,,,,,,,,,,,,,,,
20 Contem,Bermuda,Intermediate,Jackson,October Monody ,,,,,,,,,,,,,cINT,,,,,,,,,,,,,
18 Impressionist,Czech,Senior,Janacek,Our Evenings,,,,,,,,,,,,,cSR,,,,,,,,,,,,,
24 Chinese ,Chinese,Intermediate,Jiang,Red Ribbons 红头绳,"Selection from Chinese Classical Music for Piano 4, ShiDaiWenYi Publishing House, ISBN 7538709657, 中国钢琴名曲曲库4, 时代文艺出版社,p.52-53",,,,,,,6chINT1b,,,,,,,,,,,,,,,,,,
24 Chinese ,Chinese,Elementary,Jiang-Xi Folk,Mountain Song 山歌,"Selection from Chinese Classical Music for Piano 4, ShiDaiWenYi Publishing House, ISBN 7538709657, 中国钢琴名曲曲库4, 时代文艺出版社, p.15,16 bars",,,,,,,6chELE6,,,,,,,,,,,,,,,,,,
,Chinese,Junior,Jin 金,Etude 练习曲(左右手交替),"ZhongGuoFengGeGangQinLianXiQu 60 Shou中国风格钢琴练习曲60首, ISBN 9787806927199 上海音乐学院出版社, P.15-16",chJR,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Senior,Joplin,Palm Leaf Rag,"Complete Rags for Piano,Schirmer HL.50482729,",,,,,,,,,,,,,,,,,usSR,,,,,,,,
22 USA,American,Senior,Joplin,The Entertainer,"Complete Rags for Piano,Schirmer HL.50482729, p.30-34",,,,,,54usSR4,,,,,,,,,,,usSR,,,,,,,,
,American,,Joplin,Weeping Willow,"Complete Rags for Piano,Schirmer HL.50482729, p.40-43",,,,,,,,,,,,,,,,,,,,,,,,,
,American,,Joplin,The Favorite,"Complete Rags for Piano,Schirmer HL.50482729, p.48-51",,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Senior,Joplin,The Sycamore,"Complete Rags for Piano,Schirmer HL.50482729, p.52-55",,,,,,,,,,,,,,,,,usSR,,,,,,,,
,American,,Joplin,The Cascades,"Complete Rags for Piano,Schirmer HL.50482729, p.56-59",,,,,,,,,,,,,,,,,,,,,,,,,
,American,,Joplin,Leola,"Complete Rags for Piano,Schirmer HL.50482729, p.65-69",,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Senior,Joplin,Maple Leaf Rag,"Complete Rags for Piano,Schirmer HL.50482729, p.6-9  (non-simplified version)",,,,,,54usSR2,,,,,,,,,,,usSR,,,8D,,,,,
,American,Senior,Joplin,Eugenia,"Complete Rags for Piano,Schirmer HL.50482729, p.71-75",,,,,,54usSR5,,,,,,,,,,,,,,,,,,,
,American,Senior,Joplin,Gladiolus Rag,"Complete Rags for Piano,Schirmer HL.50482729, p.81-84",,,,,,54usSR6,,,,,,,,,,,,,,,,,,,
22 USA,American,Senior,Joplin,Original Rags,"Complete Rags for Piano,Schirmer HL.50482729,p.1-5",,,,,,54usSR1,,,,,,,,,,,usSR,,,,,,,,
,American,Senior,Joplin,A Breeze from Alabama,"Complete Rags for Piano,Schirmer HL.50482729,p.19-23",,,,,,54usSR3,,,,,,,,,,,,,,,,,,,
23 Pedagogy,,Elementary,Joyner,Marching Fingers,"Solo Repertoire for the Young Pianist, Book 1,Willis Music #9633,p.22-23, 24 bars in C",,,,,,,5usELE5,,,,,,,,,,,,,,,,,,
23 Pedagogy,,Elementary,Joyner,A Waltz for Judy in C Major,"Solo Repertoire for the Young Pianist, Book 2 (Mid-Elementary Level) Willis Music #9634, HL.416001, p.12-13, 32 bars",,,,,31rELE3,,,,,,2B,,,,,,,,,,,1D,,,
23 Pedagogy,,Elementary,Joyner,"Trot, Pony, Trot",,,,,,,,,1D,,,,,,,,,,,,,,,2D,,
23 Pedagogy,,Elementary,Joyner,Whistling Boy,,,,,,,,,,,,2D,,1D,,,,,,2B,,,,,,1D
19 Early Contem,Russian,Junior,Kabalevsky,Op.31 Slavonic March in A Minor, (16 bars),,,3C,,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,Andantino (2nd mvt) in A Minor from Sonatina Op.13 #1 in C Major,"28 Piano Pieces by Dmitri Kabalevsky, Hal Lenard HL 290391, p.74-76",,,,,,,004D,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,Op.30 Rondo in G Major,"28 Piano Pieces by Dmitri Kabalevsky, Hal Lenard HL 290391, p.84-89",,,,,,,005D,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #16, Lyrical Piece ","30 Pieces for Children, Op.27, G.Schirmer #ED2764 (HL.50331530) p.27-28",,,,,53cINT2,,,,,,cINT,,cINT,,,,,,,,,,,5D,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #20, Fairy Tale ","30 Pieces for Children, Op.27, G.Schirmer #ED2764 (HL.50331530) p.34-35, ",,,,,53cINT3,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #3, Etude in A Minor ","30 Pieces for Children, Op.27, G.Schirmer #ED2764 (HL.50331530) p.4-5",,,,,53cINT1,,,,,,cINT,,cINT,cINT,,,,,,,,,5D,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #27, Dance ","30 Pieces for Children, Op.27, G.Schirmer #ED2764 (HL.50331530) p.54-55",,,,,53cINT4,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #29, Cavalry Song ","30 Pieces for Children, Op.27, G.Schirmer #ED2764 (HL.50331530) p.59-61 (called The Horseman in other book)",,,,,53cINT5,,,,,,cINT,,,cINT,,,,,,,,,,,
19 Early Contem,Russian,,Kabalevsky,Ukrainian Folk Tune in G Major,"An Introduction to Classics to Moderns Agay ISBN 0825612667, p.28 (16 bars)",,,,,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #25, Novelette in D Minor","Contemporary Piano Literature Bk.5, Alfred AP.0110S",,,,,,43cINT1,,,,,,,,cINT,,,,,,,,,,,5D
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #13, A Little Joke ","Contemporary Piano Literature Book 4, Alfred AP.03640, p.34-35",,,,,53cINT6,,,,,,cINT,,cINT,,,,,,,,,,,,
,Russian,Elementary,Kabalevsky,"Op.39 #1, Song in C Major ","Contemporary Piano Literature, Book 1, Alfred AP.0107, p.11, 8 bars (called Melody in other book)",,,,,51cELE1a,,,,,,,,,,,,,,,,,,,,
,Russian,Elementary,Kabalevsky,"Op.39 #3, Marching in D Minor ","Contemporary Piano Literature, Book 1, Alfred AP.0107, p.11, 8 bars (called Rambling in other book)",,,,,51cELE1b,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #14, A Fable","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.",,,,,,,,,,,cELE,,cELE,,,,,cELE,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #15, Jumping in C Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.",,,,,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #16, A Sad Story in E Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.",,,,,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #17, Folk Dance in D Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.10 (Country Dance in D (Folk Dance))",,,,82ruJR1,,,,,,,cELE,,cELE,,,,,3D,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #18, Galop in C Major  ","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.11",,,,82ruJR2,,,,,,,cELE,,cELE,,,,,cELE,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #19, Prelude in G Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.12",,,,82ruJR3,,,,,,,cELE,,cELE,,,,,4D,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #20, Clowns in A Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.13",,,,82ruJR4,,,,,,,cELE,,cELE,,,,3D,cELE,,,,,,3D,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #21, Improvisation in D Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.14-15",,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #22, A Short Story in A Minor  ","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.16-17",,,,82ruJR5,,,,,,,cELE,,cELE,,,,,,,,,,4D,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #23, Slow Waltz in A Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.18-19",,,,82ruJR6,,,,,,,cELE,,cELE,,,,,cELE,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #2, Polka in C Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.2, 8 bars",,,,81ruELE1a,,,,,cELE,,,,,,,,,,1D,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #4, Cradle Song in E Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.2, 8 bars",,,,81ruELE1b,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.39 #24, A Happy Outing in E Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.20",,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #5, Playing in B Flat Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.3, 22 bars",,,,81ruELE2,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #7, Funny Event in G Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.4, 24 bars",,,,81ruELE3,,,,,cJR,,,,,,,,,cELE,,,2D,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #8, Song in D Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.4, 8 bars",,,,81ruELE4a,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #9, A Little Dance in F Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.5, 12 bars",,,,81ruELE4b,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #10, March in C Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.5, 16 bars",,,,81ruELE5,,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #6, A Little Joke  in C Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.5, 16 bars (Contemporary Piano Literature, Book 1, Alfred AP.0107, p.14, 16 bars)(called Running Along or A Funny Story in other book)",,,,,51cELE4,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #12, Scherzo in C Major","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.6, 16 bars",,,,81ruELE6,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #13, Waltz in D Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.7, 32 bars",,,,,51cELE6,,,,,,cELE,,cELE,,,,,cELE,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.39 #11, Song of Autumn in B Minor","Kabalevsky 24 Pieces for Children, Op.39, Schirmer #ED2461, HL.50330040, P.9, 24 bars ",,,,,51cELE5,,,,,,cELE,,cELE,,,,,cELE,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Allegro assai (1st mvt) from Sonatina Op.13 #1 in C Major,,,,,,,,,,,,cSR,,,,cINT,,,,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Allegro con moto (1st mvt) from Sonata Op.46 in F Major,,,,,,,,,,,8D,,,,,,,,,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Allegro moderato (1st mvt) from Sonatina Op.13 #2 in G Minor,,,,,,,,,,,,cSR,,,,,,,,,,,,,,
19 Early Contem,Russian,Concerto Int,Kabalevsky,Allegro molto (1st mvt) from Concerto #3 Op.50 in D Major,,,,,toINT07,,,,toINT,toINT,toINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Concerto Int,Kabalevsky,Andante (2nd mvt) from Concerto #3 Op.50 in D Major,,,,,toINT08,,,,toINT,toINT,toINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Andante cantabile (2nd mvt) in D Flat Major from Sonata Op.46 in F Major,,,,,,,,,,,,8D,,,,8D,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #1, Waltz Time in G Major",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #10, Clowning ",,,,,,,,,,,,cINT,,cINT,,,,,,,,,,,4D,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #11, Rondo in C Minor",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #12 , Toccatina in A Minor",,,,,,,,,,cINT,,,,,,,,,,,4D,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #14, Scherzo in B Minor",,,,,,,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #15, March",,,,,,,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #18, Sonatina",,,,13-4D,,,,,,,,cINT,,cINT,,,,,cELE,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #19, War Dance in F Minor",,,,,,,,,,,4D,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #2, A Little Song (Ditty) in E Minor",,,,,,,,,,cJR,,,,,,,,,cELE,,,,,,2D,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #21, The Chase",,,,,,,,,,,,cINT,,cINT,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #22, A Tale in F# Minor",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #23, Snow Storm in G Minor",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.27 #26, Etude in F Major",,,,,,,,,,,,cINT,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #4, At Night on the River in B Minor",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #5, Playing Ball in D Major",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #6, Sad Story in F Minor",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #7, Old Dance in A Minor",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.27 #8,Cradle Song",,,,,,,,,,,,,,,,,,,cELE,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.27 #9, Little Fable in E Minor",,,,,,,,,,cJr,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.38 #2, Prelude in A Minor",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #1, Happy Variation in F Major",,,,,,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #2, Merry Dance Variation in A Major",,,,,,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #3, Grey Day Variation in D Minor",,,,,,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #4, Good-Humored  Variation in G Major",,,,,,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #4, Variations ",,,,,,,,,,,,,,,,cINT,,5D,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.51 #5, Ukrainian Variations in A Minor",,,,,,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.60 #1, Rondo-March in E Flat Major",,,,,,,,,,,,cINT,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.60 #2, Rondo-Dance in D Major",,,,,,,,,,,,cINT,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.60 #4, Rondo-Toccata in A Minor",,,,,,,,,,,,cINT,,4D,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.88 #1, Dreams in C Major",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Kabalevsky,"Op.88 #2, Who'll Win the Argument in C Major",,,,,,,,,,cINT,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.89 #10, The Playful Girl in B Flat Major",,,,,,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.89 #17, Skipping Rope in B Flat Major ",,,,,,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Junior,Kabalevsky,"Op.89 #27, My Little Stubborn Brother in C Major",,,,,,,,,,cJR,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Elementary,Kabalevsky,"Op.89 #8, A Little Hedgehog in C Major",,,,,,,,,,cELE,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Concerto Int,Kabalevsky,Presto (3rd mvt) from Concerto #3 Op.50 in D Major,,,,,toINT09,,,,toINT,toINT,toINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Presto (3rd mvt) from Sonatina Op.13 #1 in C Major,,,,,,,,,,,,cSR,,6D,,cINT,,,,,,,,,,
19 Early Contem,Russian,Senior,Kabalevsky,Vivace (3rd mvt) from Sonatina Op.13 #2 in G Minor ,,,,,,,,,,,,cSR,,,,,,,,,,,,,,
22 USA,American,,Kalmanoff,Galloping Home,,,,,,,,,,,,,,,x,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khachaturian,Waltz,,,,,,,,,,,,,,,,cINT,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khatchaturian,#4 Birthday Party,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P. 10-13 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.8-11",,2,,53cINT2,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khatchaturian,#5 Etude,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.14-16 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.12-15",,2,,53cINT3,,,,,,cINT,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khatchaturian,#6 A Musical Portrait,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.17-18 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.16-17",,2.5,,53cINT4,,,,,,cINT,,,,,,,,,,,5D,,,,6D
,Russian,Intermediate,Khatchaturian,#7 Cavalry,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.19-21 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.18-20",,3,,53cINT5,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khatchaturian,#9 Imitating People (Folk Song),"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.25-28 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.24-27",,2.5,,53cINT6,,,,,,cINT,,,,,,,,,,,,,,,
,Russian,,Khatchaturian,#1 Andantino,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.6 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.2-3",,,,,,,,,,,,,,,,,,,,,,,,,
,Russian,Intermediate,Khatchaturian,#2 No Walk Today,"Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.7 OR Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.6-7",,2,,53cINT1,,,,,,,,,,,,,,,,,,,,,
,Russian,Junior,Khatchaturian,Melody in C Minor,"Easy Classics to Moderns Vol.17, Agay, Music Sales #AM41484, HL.14009841, p.152-153, 29 bars",,,,003D,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Intermediate,Khatchaturian,#8 Invention,"Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.21-23, OR Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.22-24",,,,,,,,,,cINT,,,,,,,,,,,,,,,
,Russian,,Khatchaturian,#3 Liadois is Seriously Ill,"Pictures of Childhood, Children's Album I for Piano, Sikorski #SIK2144, HL.50484189, P.6-7, OR Children's Album Vol. 1 & 2, MPI Music, ISBN 5962801504, P.9  ",,,,,,,,,,,,,,,,,,,,,,,,,
19 Early Contem,Russian,Advanced,Khatchaturian,Sabre Dance,,,,,,,,,,pianADV,,,,,,,,,,,,,,,,
23 Pedagogy,,Elementary,King,The Funny Melody,,,,,,,,,,,,,,,,,,,2D,,,,,,,
23 Pedagogy,,Junior,Kircher,Mystic Night,,,,,,,,,,,,,3C,,,,,,,,,,,,,
23 Pedagogy,German,,Kirnberger,Bourree in D Major,"Harris Piano Classics Volume 3/a, FH.HPA28,(p.6,16 bars)",,,,,,,,,,,,,,,,,,,,,,,,,
23 Pedagogy,German,Intermediate,Kirnberger,Bourree #1 in A Major,,,,,,,,,,,,,,,,,,,,4A,,,,,4A,
23 Pedagogy,German,Intermediate,Kirnberger,Le Lutin in A Major,,,,,,,,,,,,,,,,,,,,,,,4B,,,
19 Early Contem,Hungarian,Senior,Kodaly,Valsette,,,,,,,,,,,,,,,,cSR,,,,,,,,,,
23 Pedagogy,,Elementary,Kohl,The Wayside Rose in F Major,"An Introduction to Classics to Moderns Agay ISBN 0825612667,(p.19,24 bars)",,,,,,,001C,,,,,,,,,,,,,,,,,,
